LocationID;LocationType;Date;tre200dx
4497;1;202309270000;20.7
4498;1;202309270000;16.0
4499;1;202309270000;16.4
4500;1;202309270000;20.3
4501;1;202309270000;15.1
4615;1;202309270000;23.6
4616;1;202309270000;21.5
4624;1;202309270000;20.0
4640;1;202309270000;19.9
4641;1;202309270000;19.9
4643;1;202309270000;16.5
4644;1;202309270000;24.0
4646;1;202309270000;18.6
4647;1;202309270000;16.8
4648;1;202309270000;24.1
4649;1;202309270000;20.0
4650;1;202309270000;20.8
4651;1;202309270000;20.9
4652;1;202309270000;20.0
4653;1;202309270000;20.5
4654;1;202309270000;21.0
4655;1;202309270000;20.4
4656;1;202309270000;20.2
4657;1;202309270000;20.1
4658;1;202309270000;21.6
4659;1;202309270000;17.4
4660;1;202309270000;21.3
4661;1;202309270000;18.3
4662;1;202309270000;19.3
4663;1;202309270000;19.7
4664;1;202309270000;19.2
4665;1;202309270000;19.7
4707;1;202309270000;18.9
4737;1;202309270000;18.8
4753;1;202309270000;19.5
4776;1;202309270000;19.2
4789;1;202309270000;21.8
4793;1;202309270000;21.0
4801;1;202309270000;20.1
4819;1;202309270000;21.5
4824;1;202309270000;17.2
4826;1;202309270000;20.8
4841;1;202309270000;17.1
4850;1;202309270000;23.4
4857;1;202309270000;20.8
4862;1;202309270000;20.8
4864;1;202309270000;20.3
4870;1;202309270000;20.4
4871;1;202309270000;19.6
4872;1;202309270000;21.5
4880;1;202309270000;21.1
4916;1;202309270000;21.5
4941;1;202309270000;20.1
4945;1;202309270000;18.5
4964;1;202309270000;22.3
4968;1;202309270000;20.5
4970;1;202309270000;21.0
4972;1;202309270000;21.2
4973;1;202309270000;20.0
4974;1;202309270000;17.1
4975;1;202309270000;16.1
4976;1;202309270000;18.2
4977;1;202309270000;19.2
4978;1;202309270000;19.6
4979;1;202309270000;11.9
4980;1;202309270000;21.2
4981;1;202309270000;21.4
4982;1;202309270000;22.4
5003;1;202309270000;21.2
5005;1;202309270000;22.0
5022;1;202309270000;21.0
5023;1;202309270000;21.8
5024;1;202309270000;18.9
5025;1;202309270000;22.8
5026;1;202309270000;20.9
5031;1;202309270000;16.2
5032;1;202309270000;18.8
5124;1;202309270000;20.8
10101;1;202309270000;18.7
10102;1;202309270000;19.2
10103;1;202309270000;19.4
10104;1;202309270000;19.7
10105;1;202309270000;20.1
10106;1;202309270000;17.6
10107;1;202309270000;18.6
10108;1;202309270000;18.5
10109;1;202309270000;19.3
10110;1;202309270000;21.4
10111;1;202309270000;21.1
10113;1;202309270000;21.0
10114;1;202309270000;20.7
10115;1;202309270000;21.7
10116;1;202309270000;19.9
10117;1;202309270000;20.7
10118;1;202309270000;19.8
10119;1;202309270000;19.8
10120;1;202309270000;20.4
10121;1;202309270000;20.6
