LocationID;LocationType;Date;tre200dn
10189;1;202309270000;9.2
10190;1;202309270000;9.0
10191;1;202309270000;8.5
10192;1;202309270000;6.9
10193;1;202309270000;6.5
10194;1;202309270000;9.6
10195;1;202309270000;9.1
10196;1;202309270000;8.4
10198;1;202309270000;11.4
10199;1;202309270000;9.9
10202;1;202309270000;10.2
10203;1;202309270000;10.6
10204;1;202309270000;12.3
10207;1;202309270000;4.9
10216;1;202309270000;11.1
10217;1;202309270000;7.3
10218;1;202309270000;9.3
10219;1;202309270000;11.6
10232;1;202309270000;9.6
10233;1;202309270000;9.6
10234;1;202309270000;8.6
10235;1;202309270000;8.6
10236;1;202309270000;12.0
10237;1;202309270000;11.7
10238;1;202309270000;10.4
10239;1;202309270000;8.9
10240;1;202309270000;7.6
10241;1;202309270000;10.7
10271;1;202309270000;9.0
10273;1;202309270000;7.2
10274;1;202309270000;9.3
10275;1;202309270000;8.6
10276;1;202309270000;8.2
10277;1;202309270000;9.1
10278;1;202309270000;8.8
10279;1;202309270000;8.3
10280;1;202309270000;8.2
10285;1;202309270000;9.5
10286;1;202309270000;8.5
10287;1;202309270000;8.7
10290;1;202309270000;8.8
10291;1;202309270000;9.3
10292;1;202309270000;9.6
10293;1;202309270000;8.9
10294;1;202309270000;9.0
10295;1;202309270000;8.2
10296;1;202309270000;8.5
10298;1;202309270000;9.1
10299;1;202309270000;9.1
10300;1;202309270000;9.8
10301;1;202309270000;7.8
10302;1;202309270000;10.0
10303;1;202309270000;9.9
10304;1;202309270000;11.4
10305;1;202309270000;10.6
10306;1;202309270000;9.8
10307;1;202309270000;9.4
10308;1;202309270000;8.7
10309;1;202309270000;8.3
10310;1;202309270000;7.5
10311;1;202309270000;10.2
10312;1;202309270000;10.3
10313;1;202309270000;10.0
10314;1;202309270000;11.4
10315;1;202309270000;8.9
10316;1;202309270000;8.0
10317;1;202309270000;7.1
10318;1;202309270000;7.7
10319;1;202309270000;10.9
10320;1;202309270000;11.6
10321;1;202309270000;8.9
10322;1;202309270000;12.1
10323;1;202309270000;9.6
10324;1;202309270000;11.3
10325;1;202309270000;10.0
10327;1;202309270000;13.8
10328;1;202309270000;11.7
10329;1;202309270000;8.8
10330;1;202309270000;4.8
10331;1;202309270000;9.6
10332;1;202309270000;9.1
10333;1;202309270000;8.7
10334;1;202309270000;7.5
10335;1;202309270000;6.7
10336;1;202309270000;7.7
10337;1;202309270000;9.7
10338;1;202309270000;11.4
10339;1;202309270000;13.5
10340;1;202309270000;10.7
10341;1;202309270000;7.5
10342;1;202309270000;9.8
10343;1;202309270000;8.3
10345;1;202309270000;10.1
10346;1;202309270000;5.3
10347;1;202309270000;7.3
10348;1;202309270000;8.5
10349;1;202309270000;8.2
10350;1;202309270000;9.8
10351;1;202309270000;10.0
10352;1;202309270000;9.1
10353;1;202309270000;9.9
10354;1;202309270000;11.0
10355;1;202309270000;8.4
10356;1;202309270000;8.5
10357;1;202309270000;9.8
10358;1;202309270000;7.9
10359;1;202309270000;9.2
10360;1;202309270000;11.8
10361;1;202309270000;10.3
10364;1;202309270000;10.7
10365;1;202309270000;6.6
10370;1;202309270000;4.7
10371;1;202309270000;12.0
10372;1;202309270000;5.2
10373;1;202309270000;6.9
10374;1;202309270000;11.8
10375;1;202309270000;10.7
10379;1;202309270000;11.5
10428;1;202309270000;7.8
10429;1;202309270000;10.1
10430;1;202309270000;9.6
10431;1;202309270000;9.1
10432;1;202309270000;7.7
10433;1;202309270000;9.9
10434;1;202309270000;10.2
10435;1;202309270000;7.8
10496;1;202309270000;11.7
10500;1;202309270000;13.9
10502;1;202309270000;13.0
10512;1;202309270000;9.2
10513;1;202309270000;9.7
10514;1;202309270000;8.9
10515;1;202309270000;9.1
10675;1;202309270000;9.9
10762;1;202309270000;9.6
10764;1;202309270000;9.3
10765;1;202309270000;8.2
10766;1;202309270000;8.7
10767;1;202309270000;6.2
10768;1;202309270000;13.9
10770;1;202309270000;8.5
10775;1;202309270000;9.1
10776;1;202309270000;8.7
10778;1;202309270000;9.9
10779;1;202309270000;9.8
10780;1;202309270000;10.8
10781;1;202309270000;8.7
10782;1;202309270000;11.3
10786;1;202309270000;9.1
10787;1;202309270000;8.2
10788;1;202309270000;10.2
10789;1;202309270000;6.4
10790;1;202309270000;6.9
10791;1;202309270000;7.0
10792;1;202309270000;8.4
10793;1;202309270000;10.1
10794;1;202309270000;11.0
10795;1;202309270000;7.0
10796;1;202309270000;6.3
10797;1;202309270000;6.5
10798;1;202309270000;10.1
10799;1;202309270000;6.1
10802;1;202309270000;7.9
10877;1;202309270000;8.7
10878;1;202309270000;9.4
10879;1;202309270000;8.8
10880;1;202309270000;8.7
10881;1;202309270000;10.8
10882;1;202309270000;9.3
10883;1;202309270000;9.6
10884;1;202309270000;10.0
10885;1;202309270000;10.1
10887;1;202309270000;10.7
10888;1;202309270000;8.4
10889;1;202309270000;6.4
10890;1;202309270000;5.7
10891;1;202309270000;6.2
10893;1;202309270000;9.7
10894;1;202309270000;10.2
10895;1;202309270000;8.8
10896;1;202309270000;8.7
10897;1;202309270000;9.7
10899;1;202309270000;8.6
10900;1;202309270000;8.7
10901;1;202309270000;9.6
10902;1;202309270000;9.7
10903;1;202309270000;8.9
10904;1;202309270000;9.6
10905;1;202309270000;10.2
10906;1;202309270000;9.9
10907;1;202309270000;11.4
10908;1;202309270000;9.8
